Utility name,City,People served,Zip
Keownville Rural Water Association,Baldwyn,"Population served: 2,553",38650
Lake Arrowhead,Hickory Flat,Population served: 250,38650
Lake Mohawk Estates Water System,Booneville,Population served: 342,38650
Mitchell Water Association,Ripley,"Population served: 1,122",38650
Mud Creek Water Association #4,Pontotoc,"Population served: 1,190",38650
North Benton W/a,Lamar,Population served: 388,38650
North Haven Water Association,New Albany,Population served: 884,38650
Shady Grove Water Association,Ripley,"Population served: 1,162",38650
Spout Springs W/a,Ripley,Population served: 591,38650
Three Forks Water Association,Walnut,"Population served: 1,149",38650
Tiplersville Water Association,Tiplersville,"Population served: 1,023",38650
Town of Ashland,Ashland,"Population served: 1,909",38650
Town of Blue Mountain,Blue Mountain,"Population served: 1,811",38650
Town of Falkner,Falkner,"Population served: 2,768",38650
Town of Hickory Flat,Hickory Flat,"Population served: 1,362",38650
Town of Myrtle,Myrtle,"Population served: 1,953",38650
Town of Potts Camp #2,Potts Camp,Population served: 428,38650
Town of Snow Lake Shores,Ashland,Population served: 500,38650
Town of Walnut,Walnut,"Population served: 1,386",38650
Wallerville Water Association,New Albany,"Population served: 3,593",38650
Belmont Water Association,Hernando,"Population served: 2,107",38651
Buena Vista Lakes,Columbus,Population served: 768,38651
City of Hernando,Hernando,"Population served: 13,083",38651
City Of Hernando - Laughter,Hernando,Population served: 964,38651
City Of Hernando-jaybird,Hernando,"Population served: 4,837",38651
City of Horn Lake,Horn Lake,"Population served: 13,263",38651
City of Horn Lake - Holly Hills,Horn Lake,Population served: 665,38651
City Of Horn Lake - Twin Lakes,Horn Lake,"Population served: 1,803",38651
City of Olive Branch,Olive Branch,"Population served: 49,339",38651
City of Southaven,Southaven,"Population served: 54,031",38651
Country Haven Mobile Home Park,Nesbit,Population served: 507,38651
