Utility name,City,People served,Zip
Kiryas Joel Village,"Monroe, NY","Population served:31,988",10915
Middletown City,"Middletown, NY","Population served:30,850",10915
New Windsor Consolidated WD,"New Windsor, NY","Population served:30,450",10915
Newburgh City,"Newburgh, NY","Population served:28,000",10915
Newburgh Consolidated WD,"Newburgh, NY","Population served:26,313",10915
Wallkill Consolidated WD,"Middletown, NY","Population served:18,175",10915
Woodbury Cons. WD,"Central Valley, NY","Population served:10,741",10915
Monroe Village,"Monroe, NY","Population served:10,465",10915
Cornwall-on-hudson,"Cornwall-on-hudson, NY","Population served:9,500",10915
Port Jervis City,"Port Jervis, NY","Population served:9,000",10915
Kiryas Joel Village,"Monroe, NY","Population served:31,988",10916
Middletown City,"Middletown, NY","Population served:30,850",10916
New Windsor Consolidated WD,"New Windsor, NY","Population served:30,450",10916
Newburgh City,"Newburgh, NY","Population served:28,000",10916
Newburgh Consolidated WD,"Newburgh, NY","Population served:26,313",10916
Wallkill Consolidated WD,"Middletown, NY","Population served:18,175",10916
Woodbury Cons. WD,"Central Valley, NY","Population served:10,741",10916
Monroe Village,"Monroe, NY","Population served:10,465",10916
